SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar. Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang benar?";Industri tekstil dan garmen menyerap 250 juta tenaga kerja.;Industri tekstil termasuk tiga besar sektor manufaktur Indonesia.;Industri tekstil berhasil mengekspor produk senilai US$11,8 miliar.;Industri tekstil merupakan kebutuhan pokok seluruh rakyat Indonesia.;Industri tekstil tanah air dipantau oleh Asosiasi Pertekstilan Indonesia(API).;b
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 1, jika penduduk Indonesia berjumlah 250 juta jiwa, manakah di bawah ini simpulan yang benar?";Setiap penduduk dapat memproduksi garmen.;Setiap penduduk membutuhkan produk pakaian jadi.;Setiap penduduk dapat memulai usaha di sektor manufaktur.;Setiap penduduk harus bekerja di industri tekstil dan garmen.;Setiap penduduk dapat menjadi anggota Asosiasi Pertekstilan Indonesia (API).;b
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 2, manakah pernyataan di bawah ini yang paling mungkin benar mengenai industri konveksi?";Industri konveksi merupakan produk ekspor impor Indonesia.;Industri konveksi termasuk dalam pendapatan sektor nonmigas.;Industri konveksi memiliki nilai ekspor lebih tinggi daripada batu bara.;Industri konveksi merupakan sektor manufaktur terbesar di Indonesia.;Industri konveksi memiliki nilai ekspor lebih tinggi daripada kelapa sawit.;b
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalamdata statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 2, manakah di bawah ini simpulan yang paling mungkin benar mengenai ekspor pakaian jadi Indonesia?";Pertumbuhan pasar ekspor pakaian jadi Indonesia naik 9,3%.;Jepang merupakan pasar utama produk pakaian jadi Indonesia.;Pasar utama produk pakaian jadi Indonesia adalah Amerika Serikat.;Amerika Serikat dan Jerman merupakan dua negara dengan nilai ekspor tertinggi.;Nilai ekspor pakaian jadi Indonesia ke Amerika Serikat lebih sedikit daripada tahun lalu.;c
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalamdata statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan data statistik, negara tujuan ekspor manakah yang memberikan nilai ekspor terendah ketiga?";Belgia;Inggris;Kanada;Malaysia;Australia;c
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Jerman = 382 jt us dollar ; Amerika = 3800 jt us dollar ; Korea Selatan = 347,2 jt us dollar ; Jepang = 740,9 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan data statisik, negara tujuan ekspor manakah yang bernilai diantara US$382 juta dan US$244,6?";Jepang;Kanada;Australia;Korea Selatan;Amerika Serikat;d
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Jerman = 382 jt us dollar ; Amerika = 3800 jt us dollar ; Korea Selatan = 347,2 jt us dollar ; Jepang = 740,9 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar. Berdasarkan data statistik, negara tujuan ekspor manakah yang memberikan nilai ekspor lebih dari US$500 juta?";Belgia;Jerman;Jepang;Tiongkok;Korea Selatan;c
Sebuah mobil pengangkut barang harus mengangkut 33 3/4 ton barang dari sebuah gunung ke sebuah perumahan. Apabila mobil tersebut tersebut hanya mampu mengangkut 2 1/4 ton barang pada setiap kali angkut, maka berapa kali perjalanan yang harus dilakukan tiga unit mobil untuk mengangkut seluruh barang tersebut?;4 kali;5 kali;13 kali;14 kali;15 kali;b
Budi adalah seorang reseller barang. Ia membeli sebuah komputer bekas dengan harga Rp9.000.000. Kemudian ia memperbaiki sepeda tersebut dengan menghabiskan Rp140.000. Setelah itu, komputer tersebut dijual dan laku dengan harga Rp10.320.000. Persentase untung yang diperoleh Budi adalah…;12.9%;13.5%;11.4%;12.5%;11.8%;a
"                        6                                                                                  24
        

    7                   ?               13                                         28               48                52


                       15                                                                                60
";12;8;11;9;14;a
